locationID,Latitude,Longitude
CDN,34.2836,-80.565
CDR,42.8375,-103.0956
CDS,34.4339,-100.2881
CDV,60.4917,-145.4775
CDW,40.8753,-74.2814
CEA,37.6486,-97.2506
CEC,41.7803,-124.2367
CEF,42.1939,-72.5347
CEK,40.6183,-96.9258
CEM,65.5739,-144.7808
CEU,34.6719,-82.8867
CEV,39.6986,-85.1297
CEW,30.7789,-86.5222
CEY,36.6644,-88.3728
CEZ,37.3031,-108.6281
CFD,30.7156,-96.3314
CFE,45.1592,-93.8433
CFJ,39.9756,-86.92
CFK,60.1492,-164.2856
CFS,43.4589,-83.4456
CFT,32.9569,-109.2111
CFV,37.0942,-95.5719
CGC,28.8672,-82.5714
CGE,38.5394,-76.0303
CGF,41.565,-81.4864
CGI,37.2253,-89.5708
CGS,38.9806,-76.9222
CGZ,32.955,-111.7669
CHA,35.0353,-85.2036
CHD,33.2692,-111.8111
CHK,35.0972,-97.9678
CHN,27.5149,-81.8806
CHO,38.1386,-78.4528
CHP,65.4856,-144.6108
CHQ,36.8422,-89.3597
CHS,32.8986,-80.0406
CHT,39.7819,-93.4964
CHU,43.5964,-91.5039
CIC,39.7953,-121.8583
CID,41.8847,-91.7108
CII,47.8283,-112.1683
CIK,66.645,-143.74
CIN,42.0461,-94.7889
CIR,37.0644,-89.2197
CIU,46.2508,-84.4725
CJJ,43.3653,-92.1331
CJR,38.5256,-77.8597
CJX,61.8678,-158.135
CKA,36.75,-98.1167
CKB,39.2967,-80.2281
CKC,47.8383,-90.3831
CKF,31.9889,-83.7739
CKI,33.7172,-79.8569
CKM,34.2997,-90.5122
CKN,47.8417,-96.6214
CKP,42.7311,-95.5561
CKU,60.5439,-145.7267
CKV,36.6219,-87.415
CKX,64.0714,-141.9522
CKZ,40.3892,-75.2906
CLE,41.4094,-81.855
CLF,64.2569,-149.1861
CLI,44.6133,-88.7306
CLK,35.5383,-98.9328
CLL,30.5886,-96.3639
CLM,48.1203,-123.4997
CLP,58.8336,-158.5294
CLR,33.1314,-115.5214
CLS,46.6769,-122.9828
CLT,35.2139,-80.9431
CLW,27.9767,-82.7586
CMA,34.2139,-119.0944
CMH,39.9981,-82.8919
CMI,40.0389,-88.2778
CMR,35.3056,-112.1947
CMX,47.1683,-88.4892
CMY,43.9583,-90.7378
CNB,44.7294,-96.2661
CNC,41.0197,-93.3597
CNH,43.3706,-72.3686
CNK,39.5492,-97.6522
CNM,32.3375,-104.2633
CNO,33.9747,-117.6364
CNP,41.0775,-102.4642
CNU,37.6689,-95.485
CNW,31.6378,-97.0742
CNY,38.755,-109.7547
COD,44.5203,-109.0239
COE,47.7744,-116.8194
COF,28.235,-80.61
COI,28.3417,-80.6856
COM,31.8411,-99.4036
CON,43.2028,-71.5022
COQ,46.7011,-92.5036
COS,38.8058,-104.7008
COT,28.4567,-99.2183
COU,38.8181,-92.2197
CPC,34.2728,-78.715
CPK,36.6656,-76.3206
CPM,33.89,-118.2436
CPR,42.9081,-106.4644
CPS,38.5708,-90.1561
CPT,32.3539,-97.4339
CPU,38.1461,-120.6481
CPX,18.3133,-65.3044
CQA,40.4842,-84.5583
CQB,35.7239,-96.8203
